code,category,value,areaName
E12000003,IrishTraveller,2,Yorkshire and The Humber
E12000003,French,3911,Yorkshire and The Humber
E12000003,Portuguese,8532,Yorkshire and The Humber
E12000003,Spanish,7291,Yorkshire and The Humber
E12000003,Italian,6056,Yorkshire and The Humber
E12000003,German,1834,Yorkshire and The Humber
E12000003,Polish,61890,Yorkshire and The Humber
E12000003,Slovak,10637,Yorkshire and The Humber
E12000003,Czech,3836,Yorkshire and The Humber
E12000003,Romanian,28592,Yorkshire and The Humber
E12000003,Lithuanian,8836,Yorkshire and The Humber
E12000003,Latvian,5653,Yorkshire and The Humber
E12000003,Hungarian,5369,Yorkshire and The Humber
E12000003,Bulgarian,3534,Yorkshire and The Humber
E12000003,Greek,3650,Yorkshire and The Humber
E12000003,Dutch,903,Yorkshire and The Humber
E12000003,Swedish,355,Yorkshire and The Humber
E12000003,Danish,220,Yorkshire and The Humber
E12000003,Finnish,174,Yorkshire and The Humber
E12000003,Estonian,180,Yorkshire and The Humber
E12000003,3Slovenian1,238,Yorkshire and The Humber
E12000003,3Maltese2,83,Yorkshire and The Humber
E12000003,otherEU,283,Yorkshire and The Humber
E12000003,Albanian,2024,Yorkshire and The Humber
E12000003,Ukrainian,344,Yorkshire and The Humber
E12000003,otherEEuropean,12,Yorkshire and The Humber
E12000003,otherNEuropean,450,Yorkshire and The Humber
E12000003,BosCroatSerbMont,684,Yorkshire and The Humber
E12000003,Romani,28,Yorkshire and The Humber
E12000003,Yiddish,1,Yorkshire and The Humber
E12000003,Russian,6500,Yorkshire and The Humber
E12000003,Turkish,3660,Yorkshire and The Humber
E12000003,Arabic,19396,Yorkshire and The Humber
E12000003,Hebrew,117,Yorkshire and The Humber
E12000003,Kurdish,9987,Yorkshire and The Humber
E12000003,Farsi,6255,Yorkshire and The Humber
E12000003,Pashto,5492,Yorkshire and The Humber
E12000003,otherWCAsian,451,Yorkshire and The Humber
E12000003,Urdu,35399,Yorkshire and The Humber
E12000003,Hindi,2009,Yorkshire and The Humber
E12000003,Panjabi,31076,Yorkshire and The Humber
E12000003,Pahari,3728,Yorkshire and The Humber
